datum_eerste_toelating,benzine_count,elektriciteit_count,diesel_count,waterstof_count,alcohol_count,lpg_count,cng_count,lng_count
1877-06,0,1,0,0,0,0,0,0
1889-06,0,1,2,0,0,0,0,0
1894-06,1,1,3,0,0,0,0,0
1895-06,2,1,3,0,0,0,0,0
1897-02,3,1,3,0,0,0,0,0
1897-12,4,1,3,0,0,0,0,0
1898-06,6,1,3,1,0,0,0,0
1899-06,12,1,3,1,0,0,0,0
1900-02,13,1,3,1,0,0,0,0
1900-06,18,1,3,1,0,0,0,0
1901-02,19,1,3,1,0,0,0,0
1901-06,23,1,4,1,0,0,0,0
1902-02,24,2,4,1,0,0,0,0
1902-06,32,2,4,1,0,0,0,0
1903-06,45,2,4,1,0,0,0,0
1904-01,47,2,4,1,0,0,0,0
1904-02,48,2,4,1,0,0,0,0
1904-06,65,3,4,1,0,0,0,0
1904-08,66,3,4,1,0,0,0,0
1904-12,67,3,4,1,0,0,0,0
1905-06,71,3,4,1,0,0,0,0
1906-02,76,3,4,1,0,0,0,0
1906-06,83,3,4,2,0,0,0,0
1907-02,86,3,4,2,0,0,0,0
1907-06,93,4,5,2,0,0,0,0
1907-07,96,4,5,2,0,0,0,0
1907-08,97,4,5,2,0,0,0,0
1908-01,98,4,5,2,0,0,0,0
1908-02,99,4,5,2,0,0,0,0
1908-06,106,5,5,2,0,0,0,0
1908-09,107,5,5,2,0,0,0,0
1909-02,111,5,5,2,0,0,0,0
1909-04,112,5,5,2,0,0,0,0
1909-06,124,5,5,2,0,0,0,0
1909-07,125,5,5,2,0,0,0,0
1909-09,126,5,5,2,0,0,0,0
1910-01,127,5,5,2,0,0,0,0
1910-02,134,5,5,2,0,0,0,0
1910-04,135,5,5,2,0,0,0,0
1910-06,149,5,5,3,0,0,0,0
1910-07,150,5,5,3,0,0,0,0
1910-09,153,5,5,3,0,0,0,0
1910-10,154,5,5,3,0,0,0,0
1910-12,155,5,5,3,0,0,0,0
1911-01,156,5,5,3,0,0,0,0
1911-02,166,5,5,3,0,0,0,0
1911-06,190,5,5,3,0,0,0,0
1911-09,191,5,5,3,0,0,0,0
1911-12,192,5,5,3,0,0,0,0
1912-01,193,5,5,3,0,0,0,0
1912-02,205,5,5,3,0,0,0,0
1912-05,206,5,5,3,0,0,0,0
1912-06,237,5,5,3,0,0,0,0
1912-09,239,5,5,3,0,0,0,0
1913-01,241,5,5,3,0,0,0,0
1913-02,252,5,5,3,0,0,0,0
1913-06,302,5,7,4,0,0,0,0
1913-07,303,5,7,4,0,0,0,0
1914-02,326,5,7,4,0,0,0,0
1914-03,327,5,7,4,0,0,0,0
1914-05,328,5,7,4,0,0,0,0
1914-06,380,5,7,4,0,0,0,0
1914-07,382,5,7,4,0,0,0,0
1914-09,385,5,7,4,0,0,0,0
1914-11,386,5,7,4,0,0,0,0
1914-12,389,5,7,4,0,0,0,0
1915-01,390,5,7,4,0,0,0,0
1915-02,403,5,7,4,0,0,0,0
1915-03,404,5,7,4,0,0,0,0
1915-05,405,5,7,4,0,0,0,0
1915-06,427,6,8,4,0,0,0,0
1915-10,428,6,8,4,0,0,0,0
1915-11,429,6,8,4,0,0,0,0
1916-01,431,6,8,4,0,0,0,0
1916-02,435,6,8,4,0,0,0,0
1916-06,451,6,11,4,1,0,0,0
1917-02,454,6,11,4,1,0,0,0
1917-06,488,6,11,4,1,0,0,0
1917-07,491,6,11,4,1,0,0,0
1918-01,492,6,11,4,1,0,0,0
1918-02,497,6,11,4,1,0,0,0
1918-06,515,8,11,4,3,0,0,0
1918-09,516,8,11,4,3,0,0,0
1918-12,517,8,11,4,3,0,0,0
1919-01,519,8,11,4,3,0,0,0
1919-02,527,8,11,4,3,0,0,0
1919-06,577,8,11,4,3,0,0,0
1919-07,578,8,11,4,3,0,0,0
1919-08,579,8,11,4,3,0,0,0
1919-09,581,8,11,4,3,0,0,0
1919-10,582,8,11,4,3,0,0,0
1920-01,583,8,11,4,3,0,0,0
1920-02,595,8,11,4,3,0,0,0
1920-06,657,8,13,4,3,0,0,0
1920-07,658,8,13,4,3,0,0,0
1920-08,659,8,13,4,3,0,0,0
1920-10,660,8,13,4,3,0,0,0
1920-12,661,8,13,4,3,0,0,0
1921-01,672,8,13,4,3,0,0,0
1921-02,687,8,13,4,3,0,0,0
1921-03,688,8,13,4,3,0,0,0
1921-04,690,8,13,4,3,0,0,0
1921-06,737,8,19,5,3,0,0,0
1921-07,739,8,19,5,3,0,0,0
1921-08,740,8,19,5,3,0,0,0
1921-09,741,8,19,5,3,0,0,0
1921-10,742,8,19,5,3,0,0,0
1922-01,743,8,19,5,3,0,0,0
1922-02,763,8,19,5,3,0,0,0
1922-03,765,8,19,5,3,0,0,0
1922-06,823,8,20,5,3,0,0,0
1922-07,825,8,20,5,3,0,0,0
1922-08,827,8,20,5,3,0,0,0
1922-09,831,8,20,5,3,0,0,0
1922-10,833,8,20,5,3,0,0,0
1922-11,835,8,20,5,3,0,0,0
1923-01,838,8,20,5,3,0,0,0
1923-02,854,8,20,5,3,0,0,0
1923-03,859,8,20,5,3,0,0,0
1923-05,863,8,20,5,3,0,0,0
1923-06,939,9,23,5,3,1,0,0
1923-07,943,9,23,5,3,1,0,0
1923-09,947,9,23,5,3,1,0,0
1923-10,949,9,23,5,3,1,0,0
1923-11,951,9,23,5,3,1,0,0
1923-12,953,9,23,5,3,1,0,0
1924-01,959,9,23,5,3,1,0,0
1924-02,977,9,23,5,3,1,0,0
1924-03,978,9,23,5,3,1,0,0
1924-04,979,9,23,5,3,1,0,0
1924-05,982,9,23,5,3,1,0,0
1924-06,1104,9,25,8,4,1,0,0
1924-07,1107,9,25,8,4,1,0,0
1924-09,1112,9,25,8,4,1,0,0
1924-10,1113,9,25,8,4,1,0,0
1924-12,1114,9,25,8,4,1,0,0
1925-01,1121,9,25,8,4,1,0,0
1925-02,1143,9,25,8,4,1,0,0
1925-03,1144,9,25,8,4,1,0,0
1925-04,1146,9,25,8,4,1,0,0
1925-05,1148,9,25,8,4,1,0,0
1925-06,1276,9,30,10,4,1,0,0
1925-07,1283,9,30,10,4,1,0,0
1925-09,1287,9,30,10,4,1,0,0
